 h bar =  0.492508228253105     
 Volume Error=   3.102798018517205E-002   16.4602880659004     
 TE -error=   -11.9677734375000        5928827448242.72     
 Volume Error=   7.656524303456536E-002   16.5058253287498     
 TE -error=   -7.91503906250000        5928827448246.77     
 Volume Error=   7.277094482560642E-002   16.5020310305408     
 TE -error=    5.52246093750000        5928827448260.21     
 Volume Error=   6.161826604511589E-002   16.4908783517603     
 TE -error=    1.80566406250000        5928827448256.50     
 Volume Error=   7.601386187161552E-002   16.5052739475868     
 TE -error=   -27.2431640625000        5928827448227.45     
 Volume Error=   6.733671398251317E-002   16.4965967996977     
 TE -error=    38.3642578125000        5928827448293.05     
 Volume Error=   6.849347755633062E-002   16.4977535632715     
 TE -error=   -44.7226562500000        5928827448209.97     
 Volume Error=   6.621405646001222E-002   16.4954741421752     
 TE -error=    33.2460937500000        5928827448287.94     
 Volume Error=   7.804885626683244E-002   16.5073089419820     
 TE -error=    2.68652343750000        5928827448257.38     
 Volume Error=   7.218545761134010E-002   16.5014455433266     
 TE -error=   -34.6542968750000        5928827448220.04     
 Volume Error=   7.150902092689648E-002   16.5007691066421     
 TE -error=   -11.6650390625000        5928827448243.02     
 Volume Error=   7.497931164834881E-002   16.5042393973636     
 TE -error=    5.93066406250000        5928827448260.62     
 Volume Error=   6.822062914579874E-002   16.4974807148610     
 TE -error=   -8.67089843750000        5928827448246.02     
 Volume Error=   5.728395535697928E-002   16.4865440410722     
 TE -error=   -15.6347656250000        5928827448239.05     
 Volume Error=   7.249809641507454E-002   16.5017581821303     
 TE -error=    40.5283203125000        5928827448295.22     
 Volume Error=   7.907772214821307E-002   16.5083378078634     
 TE -error=    8.84765625000000        5928827448263.54     
 Volume Error=   8.183178579201922E-002   16.5110918715072     
 TE -error=   -5.75585937500000        5928827448248.93     
 Volume Error=   7.110827482392779E-002   16.5003683605391     
 TE -error=    49.5498046875000        5928827448304.24     
 Volume Error=   6.256755114009138E-002   16.4918276368553     
 TE -error=    34.8710937500000        5928827448289.56     
 Volume Error=   7.970584192662500E-002   16.5089659276418     
 TE -error=   -8.67578125000000        5928827448246.01     
 Volume Error=   6.857874268462183E-002   16.4978388283998     
 TE -error=    76.0166015625000        5928827448330.71     
 Volume Error=   6.050129286450101E-002   16.4897613785797     
 TE -error=   -11.1064453125000        5928827448243.58     
 Volume Error=   7.811422619852237E-002   16.5073743119137     
 TE -error=    67.7792968750000        5928827448322.47     
 Volume Error=   6.545235464727739E-002   16.4947124403625     
 TE -error=    31.1669921875000        5928827448285.86     
 Volume Error=   7.479172836610815E-002   16.5040518140813     
 TE -error=    37.3994140625000        5928827448292.09     
 Volume Error=   7.985647698660614E-002   16.5091165627018     
 TE -error=    78.9921875000000        5928827448333.68     
 Volume Error=   7.875655683164950E-002   16.5080166425469     
