 h bar =  0.492508228253105     
 Volume Error=  -2.935962584160734E-003   16.4312353945206     
 TE -error=    3331.83056640625        3024411531938.06     
 Volume Error=   1.677733507676749E-002   16.4509486921816     
 TE -error=   -2359.39648437500        3024411526246.83     
 Volume Error=   6.118909823271679E-002   16.4953604553375     
 TE -error=   -5513.38769531250        3024411523092.84     
 Volume Error=   6.641869276791112E-002   16.5005900498727     
 TE -error=   -3059.88378906250        3024411525546.35     
 Volume Error=   7.161702342273202E-002   16.5057883805275     
 TE -error=    1506.31494140625        3024411530112.55     
 Volume Error=   6.781419870094396E-002   16.5019855558057     
 TE -error=    3250.46728515625        3024411531856.70     
 Volume Error=   7.536300472565927E-002   16.5095343618304     
 TE -error=    2755.55029296875        3024411531361.78     
 Volume Error=   6.323261914076284E-002   16.4974039762456     
 TE -error=    818.064941406250        3024411529424.30     
 Volume Error=   6.662332907581003E-002   16.5007946861806     
 TE -error=   -1494.85156250000        3024411527111.38     
 Volume Error=   6.138236585684353E-002   16.4955537229616     
 TE -error=    332.428222656250        3024411528938.66     
 Volume Error=   7.533884627264342E-002   16.5095102033774     
 TE -error=    1105.57373046875        3024411529711.80     
 Volume Error=   8.081428859441075E-002   16.5149856456992     
 TE -error=   -466.854980468750        3024411528139.38     
 Volume Error=   7.623555120517267E-002   16.5104069083100     
 TE -error=   -2774.06396484375        3024411525832.17     
 Volume Error=   7.203908580777352E-002   16.5062104429126     
 TE -error=   -5241.14111328125        3024411523365.09     
 Volume Error=   7.863718565204181E-002   16.5128085427568     
 TE -error=   -5566.22509765625        3024411523040.01     
 Volume Error=   6.036771083017811E-002   16.4945390679350     
 TE -error=   -4859.16845703125        3024411523747.06     
 Volume Error=   7.342180197156267E-002   16.5075931590764     
 TE -error=   -2563.65625000000        3024411526042.57     
 Volume Error=   6.914433470228687E-002   16.5033156918071     
 TE -error=    973.921386718750        3024411529580.15     
 Volume Error=   6.995435342105338E-002   16.5041257105258     
 TE -error=    3256.18212890625        3024411531862.41     
 Volume Error=   7.469509455404477E-002   16.5088664516588     
 TE -error=    2280.62548828125        3024411530886.86     
 Volume Error=   5.963585181234521E-002   16.4938072089171     
 TE -error=    876.850585937500        3024411529483.08     
 Volume Error=   5.545075509871822E-002   16.4896221122035     
 TE -error=   -2251.08447265625        3024411526355.15     
 Volume Error=   7.522658052039333E-002   16.5093979376252     
 TE -error=   -5136.10058593750        3024411523470.13     
